 Sun, 16 Dec 2018 23:50:44  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//div[@class='goods-pic']
 Sun, 16 Dec 2018 23:50:44  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:44  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.05秒
 Sun, 16 Dec 2018 23:50:45  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sun, 16 Dec 2018 23:50:45  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[text()='18岁']
 Sun, 16 Dec 2018 23:50:45  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:2.00秒
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[text()='18岁']
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//span[@class='num-add']
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.05秒
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//span[@class='num-add']
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//a[@class='join-cart login']
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.11秒
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[@class='nav-cart']//a[contains(text(),'购物车')]
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:47  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Sun, 16 Dec 2018 23:50:48  INFO BasePage.py get_text [ line:160 ] =====获取元素的文本内容======
 Sun, 16 Dec 2018 23:50:48  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//h6[@class='cart-tit']
 Sun, 16 Dec 2018 23:50:48  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:48  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Sun, 16 Dec 2018 23:50:48  INFO BasePage.py get_text [ line:160 ] =====获取元素的文本内容======
 Sun, 16 Dec 2018 23:50:48  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[@class='Unick']/a
 Sun, 16 Dec 2018 23:50:48  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:48  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Sun, 16 Dec 2018 23:50:48  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sun, 16 Dec 2018 23:50:48  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//label[@class='all-che']
 Sun, 16 Dec 2018 23:50:48  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:48  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Sun, 16 Dec 2018 23:50:48  INFO BasePage.py get_text [ line:160 ] =====获取元素的文本内容======
 Sun, 16 Dec 2018 23:50:48  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//h6[@class='cart-tit']//span
 Sun, 16 Dec 2018 23:50:48  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:48  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Sun, 16 Dec 2018 23:51:05  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sun, 16 Dec 2018 23:51:05  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[@class='hot']//a[text()='秀百贝商城']
 Sun, 16 Dec 2018 23:51:05  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:51:05  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.05秒
 Sun, 16 Dec 2018 23:51:08  INFO BasePage.py input_text [ line:148 ] =====执行输入操作======
输入的数据为：妲己
 Sun, 16 Dec 2018 23:51:08  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='search']
 Sun, 16 Dec 2018 23:51:08  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:51:08  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.05秒
 Sun, 16 Dec 2018 23:51:08  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sun, 16 Dec 2018 23:51:08  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//i[@class='s-icon i-search']
 Sun, 16 Dec 2018 23:51:08  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:51:08  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.05秒
 Sun, 16 Dec 2018 23:51:09  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sun, 16 Dec 2018 23:51:09  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//div[@class='goods-pic']
 Sun, 16 Dec 2018 23:51:09  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:51:09  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.06秒
