 Tue, 18 Dec 2018 16:48:51  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Tue, 18 Dec 2018 16:48:51  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[text()='18岁']
 Tue, 18 Dec 2018 16:48:51  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:52  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:1.18秒
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[text()='18岁']
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//span[@class='num-add']
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.05秒
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//span[@class='num-add']
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//a[@class='join-cart login']
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//a[contains(text(),'购物车')]
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:53  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Tue, 18 Dec 2018 16:48:54  INFO BasePage.py get_text [ line:162 ] =====获取元素的文本内容======
 Tue, 18 Dec 2018 16:48:54  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//h6[@class='cart-tit']
 Tue, 18 Dec 2018 16:48:54  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:54  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Tue, 18 Dec 2018 16:48:54  INFO BasePage.py get_text [ line:162 ] =====获取元素的文本内容======
 Tue, 18 Dec 2018 16:48:54  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[@class='Unick']/a
 Tue, 18 Dec 2018 16:48:54  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
